"ClassName","Class","Parameter","ParameterLong","ParameterDescription","Phase","PhaseSpecific","StatCategory","Estimate","se","p"
"Painter",3,"AVG_REB_DIST","Rebound Distance from Rim","Average distance from the rim when gathering a rebound","Both","Rebounding","Means",-1.08735881317295,0.0196437266280311,0
"Painter",3,"AVG_REB_DIST","Rebound Distance from Rim","Average distance from the rim when gathering a rebound","Both","Rebounding","Variances",0.372003800453209,0.0174921572278589,2.30030559031221e-100
"Anywhere",7,"AVG_REB_DIST","Rebound Distance from Rim","Average distance from the rim when gathering a rebound","Both","Rebounding","Means",0.882721922170428,0.0706156254939281,7.42983472067764e-36
"Moneyball",8,"AVG_REB_DIST","Rebound Distance from Rim","Average distance from the rim when gathering a rebound","Both","Rebounding","Variances",0.372003800453209,0.0174921572278589,2.30030559031221e-100
"Defender",1,"AVG_REB_DIST","Rebound Distance from Rim","Average distance from the rim when gathering a rebound","Both","Rebounding","Means",-0.183391466638665,0.0575123021249999,0.00142897015612781
"Jumper",9,"AVG_SEC_PER_TOUCH","Average Seconds Per Touch","Average seconds per touch","Offense","Possession","Means",0.32070231741164,0.0435722659494553,1.83580414611564e-13
"Moneyball",8,"AVG_SEC_PER_TOUCH","Average Seconds Per Touch","Average seconds per touch","Offense","Possession","Variances",0.140044136025616,0.00682317199737228,1.29335077320507e-93
"Anywhere",7,"AVG_SEC_PER_TOUCH","Average Seconds Per Touch","Average seconds per touch","Offense","Possession","Means",1.674659639575,0.0613481248661107,4.52301372774358e-164
"Pass First",6,"AVG_SEC_PER_TOUCH","Average Seconds Per Touch","Average seconds per touch","Offense","Possession","Means",1.53171036735963,0.0339278608738862,0
"Painter",3,"AVG_SEC_PER_TOUCH","Average Seconds Per Touch","Average seconds per touch","Offense","Possession","Variances",0.140044136025616,0.00682317199737228,1.29335077320507e-93
"Painter",3,"AVG_SEC_PER_TOUCH","Average Seconds Per Touch","Average seconds per touch","Offense","Possession","Means",-0.867554540413713,0.0124516402377001,0
"Moneyball",8,"AVG_SEC_PER_TOUCH","Average Seconds Per Touch","Average seconds per touch","Offense","Possession","Means",-0.53427100138732,0.0293611092744312,5.49584599476434e-74
"Double-Double",2,"AVG_SEC_PER_TOUCH","Average Seconds Per Touch","Average seconds per touch","Offense","Possession","Variances",0.140044136025616,0.00682317199737228,1.29335077320507e-93
"Center",4,"AVG_SEC_PER_TOUCH","Average Seconds Per Touch","Average seconds per touch","Offense","Possession","Variances",0.140044136025616,0.00682317199737228,1.29335077320507e-93
"Jumper",9,"AVG_SEC_PER_TOUCH","Average Seconds Per Touch","Average seconds per touch","Offense","Possession","Variances",0.140044136025616,0.00682317199737228,1.29335077320507e-93
"Pass First",6,"AVG_SEC_PER_TOUCH","Average Seconds Per Touch","Average seconds per touch","Offense","Possession","Variances",0.140044136025616,0.00682317199737228,1.29335077320507e-93
"Defender",1,"AVG_SEC_PER_TOUCH","Average Seconds Per Touch","Average seconds per touch","Offense","Possession","Variances",0.140044136025616,0.00682317199737228,1.29335077320507e-93
"Double-Double",2,"AVG_SEC_PER_TOUCH","Average Seconds Per Touch","Average seconds per touch","Offense","Possession","Means",-0.523311664884052,0.0404015656637158,2.26664711107116e-38
"Anywhere",7,"AVG_SEC_PER_TOUCH","Average Seconds Per Touch","Average seconds per touch","Offense","Possession","Variances",0.140044136025616,0.00682317199737228,1.29335077320507e-93
"Triple-Double",10,"AVG_SEC_PER_TOUCH","Average Seconds Per Touch","Average seconds per touch","Offense","Possession","Means",2.13920140469394,0.286379711194935,8.03120297295486e-14
"Defender",1,"AVG_SEC_PER_TOUCH","Average Seconds Per Touch","Average seconds per touch","Offense","Possession","Means",-0.402267038735097,0.0381882242112458,6.03493235305537e-26
"Triple-Double",10,"AVG_SEC_PER_TOUCH","Average Seconds Per Touch","Average seconds per touch","Offense","Possession","Variances",0.140044136025616,0.00682317199737228,1.29335077320507e-93
"Big Jump",5,"AVG_SEC_PER_TOUCH","Average Seconds Per Touch","Average seconds per touch","Offense","Possession","Variances",0.140044136025616,0.00682317199737228,1.29335077320507e-93
"Center",4,"AVG_SEC_PER_TOUCH","Average Seconds Per Touch","Average seconds per touch","Offense","Possession","Means",-0.807396873857233,0.0210518224710804,0
"Big Jump",5,"AVG_SEC_PER_TOUCH","Average Seconds Per Touch","Average seconds per touch","Offense","Possession","Means",-0.803881825600253,0.0178873684313612,0
"Moneyball",8,"AVG_SPEED_DEF","Speed Def","Average speed on defense per game","Defense","Movement","Means",0.262356408332984,0.0513799440364427,3.28697118421933e-07
"Jumper",9,"AVG_SPEED_DEF","Speed Def","Average speed on defense per game","Defense","Movement","Variances",0.740592905703914,0.0266540613257675,6.51777542890931e-170
"Center",4,"AVG_SPEED_DEF","Speed Def","Average speed on defense per game","Defense","Movement","Variances",0.740592905703914,0.0266540613257675,6.51777542890931e-170
"Big Jump",5,"AVG_SPEED_DEF","Speed Def","Average speed on defense per game","Defense","Movement","Means",-0.436519257026915,0.0774745151137066,1.75710316390967e-08
"Anywhere",7,"AVG_SPEED_DEF","Speed Def","Average speed on defense per game","Defense","Movement","Variances",0.740592905703914,0.0266540613257675,6.51777542890931e-170
"Jumper",9,"AVG_SPEED_DEF","Speed Def","Average speed on defense per game","Defense","Movement","Means",-0.152806765226197,0.0671420447691751,0.0228536133775372
"Painter",3,"AVG_SPEED_DEF","Speed Def","Average speed on defense per game","Defense","Movement","Variances",0.740592905703914,0.0266540613257675,6.51777542890931e-170
"Center",4,"AVG_SPEED_DEF","Speed Def","Average speed on defense per game","Defense","Movement","Means",-0.203757416886088,0.0880999036194708,0.0207336628969805
"Moneyball",8,"AVG_SPEED_DEF","Speed Def","Average speed on defense per game","Defense","Movement","Variances",0.740592905703914,0.0266540613257675,6.51777542890931e-170
"Triple-Double",10,"AVG_SPEED_DEF","Speed Def","Average speed on defense per game","Defense","Movement","Means",-2.3360395879571,0.284656528282818,2.27690997613041e-16
"Painter",3,"AVG_SPEED_DEF","Speed Def","Average speed on defense per game","Defense","Movement","Means",0.0597520998294235,0.05315888156051,0.261000920201724
"Pass First",6,"AVG_SPEED_DEF","Speed Def","Average speed on defense per game","Defense","Movement","Variances",0.740592905703914,0.0266540613257675,6.51777542890931e-170
"Anywhere",7,"AVG_SPEED_DEF","Speed Def","Average speed on defense per game","Defense","Movement","Means",-0.916079997382421,0.082385599669287,1.00927160946518e-28
"Big Jump",5,"AVG_SPEED_DEF","Speed Def","Average speed on defense per game","Defense","Movement","Variances",0.740592905703914,0.0266540613257675,6.51777542890931e-170
"Triple-Double",10,"AVG_SPEED_DEF","Speed Def","Average speed on defense per game","Defense","Movement","Variances",0.740592905703914,0.0266540613257675,6.51777542890931e-170
